[Fe/H]   [C/Fe]  [N/Fe]  [O/Fe] [Na/Fe] [Mg/Fe] [Al/Fe] [Si/Fe] [K/Fe] [Ca/Fe] [Ce/Fe]
 -1.29    0.39   -9.99   -9.99   -9.99    0.31   -0.09    0.22   -9.99    0.47    0.83
 -1.47    0.83   -9.99   -9.99   -9.99    0.43   -0.02    0.33   -9.99    0.51   -9.99
 -1.42   -9.99   -9.99   -9.99   -9.99   -9.99   -0.11    0.25   -9.99    0.44   -9.99
 -1.19    0.29    0.69   -9.99   -9.99    0.19    0.17    0.21   -9.99    0.39    0.69
 -1.12   -9.99   -9.99   -9.99   -9.99   -9.99   -0.22   -9.99   -9.99   -9.99   -9.99
 -1.27    0.40   -9.99   -9.99   -9.99   -9.99   -0.18    0.23   -9.99    0.33   -9.99
 -1.10   -9.99   -9.99   -9.99   -9.99   -9.99   -9.99    0.35   -9.99   -9.99   -9.99
 -1.31   -0.34    1.13    0.30   -9.99    0.27    0.58    0.20    0.16    0.26    0.28
 -1.19   -9.99   -9.99   -9.99   -9.99   -9.99    0.47    0.23   -9.99    0.37   -9.99
 -1.44   -9.99   -9.99   -9.99   -9.99   -9.99   -0.16    0.39    1.21   -9.99   -9.99
 -1.23    0.42   -9.99   -9.99   -9.99   -9.99   -0.10    0.25   -9.99    0.50   -9.99
 -1.23   -9.99    1.04    0.42   -9.99    0.20    0.82    0.16   -9.99    0.11    0.41
 -1.26   -9.99   -9.99   -9.99   -9.99   -9.99    0.46    0.23    0.55   -9.99   -9.99
 -1.14   -9.99   -9.99   -9.99   -9.99   -9.99   -0.23    0.15   -9.99   -9.99   -9.99
 -1.36   -9.99   -9.99   -9.99   -9.99   -9.99   -0.16    0.26   -9.99    0.50   -9.99
 -1.29   -9.99    1.90   -9.99   -9.99   -9.99    0.44    0.16   -9.99   -9.99   -9.99
 -1.27   -9.99   -9.99   -9.99   -9.99   -9.99   -0.21    0.21   -9.99    0.34   -9.99
 -1.26   -0.27   -9.99    0.37    0.08   -9.99    0.43    0.20    0.28    0.19    0.24
 -1.11    0.05    0.40   -9.99   -9.99    0.20   -0.23    0.12   -0.12    0.19   -9.99
 -1.16   -9.99   -9.99   -9.99   -9.99   -9.99   -0.17    0.20   -9.99    0.24   -9.99
 -1.23    0.00    0.47    0.57   -9.99    0.26   -0.11    0.20    0.12    0.23    0.30
 -1.29   -0.18    0.82    0.43   -9.99    0.18   -0.34    0.20   -0.13   -0.19    0.25
 -1.23   -9.99    1.21   -9.99   -9.99   -9.99    0.52    0.16   -9.99    0.34   -9.99
 -1.30   -0.03    0.82   -9.99   -9.99    0.30   -0.24    0.25    0.26    0.07    0.41
 -1.10    0.04   -9.99   -9.99   -9.99    0.19   -0.18    0.14   -9.99    0.19    0.48
 -1.15   -9.99    1.17   -9.99   -9.99    0.10    0.14    0.13    0.35    0.19   -9.99
 -0.86   -9.99   -9.99   -9.99   -9.99   -0.22   -0.96   -9.99   -9.99   -9.99   -9.99
 -1.19   -0.12    0.79    0.56   -9.99    0.25    0.14    0.17    0.15    0.29    0.25
 -1.35   -9.99   -9.99   -9.99   -9.99   -9.99    0.01    0.30   -9.99    0.30   -9.99
 -1.35   -9.99    1.13   -9.99   -9.99   -9.99   -0.25    0.30   -9.99    0.21   -9.99
 -1.13   -9.99   -9.99   -9.99   -9.99   -9.99   -9.99    0.20   -9.99   -9.99   -9.99
