min,best-start,best-end,okay-start,okay-end,opt-35
2020-02-08 07:53:36.903,2020-02-08 06:42:09.025,2020-02-08 08:33:19.057,2020-02-08 03:55:23.978,2020-02-08 08:49:11.919,2020-02-08 01:32:28.223
2020-02-08 21:07:39.986,2020-02-08 19:56:12.109,2020-02-08 21:47:22.140,2020-02-08 17:09:27.061,2020-02-08 22:03:15.002,2020-02-08 14:46:31.306
2020-02-09 10:21:43.070,2020-02-09 09:10:15.192,2020-02-09 11:01:25.224,2020-02-09 06:23:30.145,2020-02-09 11:17:18.086,2020-02-09 04:00:34.390
2020-02-09 23:35:46.153,2020-02-09 22:24:18.276,2020-02-10 00:15:28.307,2020-02-09 19:37:33.228,2020-02-10 00:31:21.169,2020-02-09 17:14:37.473
2020-02-10 12:49:49.237,2020-02-10 11:38:21.359,2020-02-10 13:29:31.391,2020-02-10 08:51:36.312,2020-02-10 13:45:24.253,2020-02-10 06:28:40.557
2020-02-11 02:03:52.320,2020-02-11 00:52:24.443,2020-02-11 02:43:34.474,2020-02-10 22:05:39.395,2020-02-11 02:59:27.336,2020-02-10 19:42:43.640
2020-02-11 15:17:55.404,2020-02-11 14:06:27.526,2020-02-11 15:57:37.558,2020-02-11 11:19:42.479,2020-02-11 16:13:30.420,2020-02-11 08:56:46.724
