min,best-start,best-end,okay-start,okay-end,opt-35
2020-02-08 13:54:30.489,2020-02-08 12:40:47.787,2020-02-08 14:35:27.545,2020-02-08 09:48:48.150,2020-02-08 14:51:50.368,2020-02-08 07:21:22.747
2020-02-09 03:33:31.618,2020-02-09 02:19:48.916,2020-02-09 04:14:28.675,2020-02-08 23:27:49.279,2020-02-09 04:30:51.497,2020-02-08 21:00:23.876
2020-02-09 17:12:32.747,2020-02-09 15:58:50.046,2020-02-09 17:53:29.804,2020-02-09 13:06:50.409,2020-02-09 18:09:52.626,2020-02-09 10:39:25.005
2020-02-10 06:51:33.876,2020-02-10 05:37:51.175,2020-02-10 07:32:30.933,2020-02-10 02:45:51.538,2020-02-10 07:48:53.755,2020-02-10 00:18:26.134
2020-02-10 20:30:35.006,2020-02-10 19:16:52.304,2020-02-10 21:11:32.062,2020-02-10 16:24:52.667,2020-02-10 21:27:54.885,2020-02-10 13:57:27.264
2020-02-11 10:09:36.135,2020-02-11 08:55:53.433,2020-02-11 10:50:33.191,2020-02-11 06:03:53.796,2020-02-11 11:06:56.014,2020-02-11 03:36:28.393
