source_id,ra,dec,g,bp_rp
3496374515935109248,189.85416833379156,-26.74552668429357,19.545937,
3496372042034482304,189.9064586038731,-26.724582467895903,19.321447,0.61577606
3496371969020445952,189.91323127154118,-26.736822753563654,19.278889,0.65966225
3496374619014616192,189.8491572778024,-26.732283173632037,19.765644,
3496374584656872064,189.87775787619324,-26.741377760847566,19.186365,
3496363074141746944,189.7628765058255,-26.89647321240629,19.944126,0.5839367
3496368880940153600,189.88453644606565,-26.826366174478213,18.324362,0.8685036
3496363001128098688,189.77099856008104,-26.915817815581672,17.66465,1.1330528
3496372072102475008,189.92312632679523,-26.72467155058465,19.138102,0.53476334
3496374619016716544,189.85466969180348,-26.744020452738276,15.783649,0.99134445
3496374550297195904,189.86759781894918,-26.7467947170021,13.485251,1.2417479
3496371457918011264,189.86023381973374,-26.774679609242966,18.38992,0.7517414
3496375271851853824,189.86965402865735,-26.6971373431148,19.103928,0.66179657
3496374550297080576,189.86818614751792,-26.744686311024232,18.668312,
3496373205972476416,189.8062584592803,-26.759648960114205,19.595125,0.59305763
3496373996244880000,189.7711132814758,-26.74833622013092,19.699657,0.71574783
3496374619014699648,189.85506181421948,-26.7284498838285,19.136465,0.66783714
3496374515935109504,189.8530374807765,-26.745761071595002,18.98931,
3496374687733658880,189.82111944437113,-26.74197953247799,19.892698,0.6841965
3496356816375187840,190.02289441670618,-26.927780813957042,18.11149,1.196537
3496353998876642304,190.05785107637504,-26.926784245626465,19.95604,0.7156563
3496371969020446208,189.9180666267271,-26.73257781934798,19.291048,0.68442535
3496371217399842560,189.88782005265008,-26.782025442352584,18.9321,
3496366166518199552,189.71002913259008,-26.88356732636797,19.573963,2.3788948
3496374550297166976,189.86695853276112,-26.74594551558511,18.098167,
3496371938955108224,189.90377786454775,-26.741171851944515,18.544748,0.6931915
3496374653374580480,189.86643994207304,-26.71839249565837,19.112337,0.59472847
3496372037741699200,189.909085695072,-26.724390742265104,18.942223,0.63116646
3496374859533028224,189.8640844839151,-26.71341017585203,19.726288,0.58621216
3496372037739923072,189.90934846094765,-26.73319404225356,17.756664,0.90600014
3496371595357385088,189.88361702384657,-26.753762310350123,19.42008,
3496373171612737792,189.80392077585734,-26.767595997538074,19.619257,0.5513325
3496374412855510400,189.84216148739782,-26.769985420994267,19.425364,
3496374722095932288,189.82781254114292,-26.73656625147184,19.214083,0.83402634
3496363001128097024,189.7816613880076,-26.917167428910112,16.54025,0.8089924
3496370049171259264,189.942853128262,-26.83965668513717,16.107117,1.3859243
3496422374755137152,189.69039583779133,-26.654055938714514,19.368746,1.8074017
3496369636854397952,189.87546758443253,-26.82362170204248,18.214048,0.80921173
3496374412855549824,189.84790407490294,-26.763324791963548,19.312986,
3496374515934966784,189.84590699755623,-26.748597362469464,18.532785,0.67191505
3496374550297081216,189.8598891656331,-26.74646190043371,18.810602,
3496374584656906112,189.8705592017551,-26.739871422550724,19.313044,
3496374412855510272,189.84235801579288,-26.769609351250455,18.467884,1.4325237
3496368880940154112,189.88727907762635,-26.826121282925172,19.164736,0.54008293
3496396501873426304,190.11039898615311,-26.656061294374663,19.01788,2.5597267
3496362932408620416,189.7455830008,-26.91611799964578,19.28267,1.4525337
3496369911732320512,189.8571409581132,-26.792035103519797,19.399986,0.59301186
3496373210267229056,189.8137397518692,-26.75679726436527,15.744356,0.72488594
3496374859533027968,189.85630036313214,-26.711370695495255,19.772451,0.6993294
3496374619014616448,189.84875090062678,-26.731469451826598,17.848783,0.6820202
3496371561000001664,189.89384672753863,-26.754840350538238,19.8439,
3496371217399841152,189.88699517659828,-26.782119216178817,19.820488,
3496375233198408320,189.87407217842477,-26.703486257382515,19.194427,0.6962013
3496371423558291840,189.87677710321503,-26.774857775935825,19.65958,0.5130291
3496374550294950272,189.86973573596393,-26.742207500219223,19.278849,
3496374825173544576,189.84302011283597,-26.733961499097894,19.695415,
3496374584654961792,189.88101826717755,-26.735320038019214,18.633406,0.6603565
3496415812045042688,189.60969508444202,-26.737566912872744,17.452038,1.7083397
3496371148682902272,189.8991429052546,-26.802939721434864,19.692493,0.8095913
3496371629717378816,189.8879332469302,-26.741817363163676,19.291042,0.7024059
3496374584654895872,189.87692449534185,-26.735002611519782,19.573326,
3496423714784979840,189.78321162808368,-26.597505306514257,19.825697,0.82006073
3496369843012830720,189.8287962712222,-26.806009237981673,18.834295,0.69483566
3496374550297080832,189.86792130250046,-26.744534743803126,18.127039,0.7327728
3496373480848526976,189.7483778469331,-26.771735920722897,19.684969,0.6496105
3496374962612209536,189.88147707091002,-26.724849805174195,19.23269,
3496374550297167360,189.8665168729136,-26.746005913015217,16.247213,0.84590626
