SourceId,ra,dec,G
   3496374619016733440, 189.86123, -26.73274,  18.383
   3496374722093742336, 189.83731, -26.73294,  19.632
   3496423714784976768, 189.77039, -26.60090,  19.570
   3496372003382985728, 189.90557, -26.73778,  18.905
   3496374619016750848, 189.85334, -26.73875,  16.839
   3496371526637650944, 189.89096, -26.76469,  19.170
   3496374653374491520, 189.85957, -26.72588,  19.205
   3496370495845340928, 189.92076, -26.78990,  18.655
   3496374962612246784, 189.88519, -26.71825,  19.221
   3496374893894706304, 189.83616, -26.71258,  17.471
   3496370083530992000, 189.91480, -26.84237,  16.332
   3496371629717290240, 189.89538, -26.74827,  18.292
   3496374584656909696, 189.87225, -26.74095,  15.647
   3496374825173548288, 189.84441, -26.73154,  18.759
   3496368880940157440, 189.88844, -26.81981,  19.557
   3496369873077956480, 189.84931, -26.80985,  19.450
   3496369946092047104, 189.83415, -26.80443,  16.521
   3496362146428798592, 189.77860, -26.93973,  19.656
   3496374825173548160, 189.84414, -26.73138,  19.036
   3496374584654948736, 189.87702, -26.73301,  18.923
   3496375233197197056, 189.86578, -26.69416,  18.838
   3496369671214140288, 189.85541, -26.80974,  19.523
   3496370942524942208, 189.95174, -26.76975,  19.870
   3496427253838028160, 189.65637, -26.59876,  18.792
   3496371595357128320, 189.87104, -26.75937,  19.163
   3496375061396902656, 189.89178, -26.70847,  16.312
   3496374511641276032, 189.84672, -26.74355,  14.066
   3496374825173548032, 189.84520, -26.73192,  19.385
   3496370628992621824, 189.96608, -26.79384,  19.230
   3496376126547275776, 189.83049, -26.67789,  19.273
   3496374825173183872, 189.84942, -26.72357,  18.934
   3496396261355266432, 190.01911, -26.64221,  18.061
   3496371595357128192, 189.87888, -26.76146,  18.222
   3496371148682904320, 189.89751, -26.79917,  18.382
   3496375095758418944, 189.91008, -26.70828,  17.902
   3496371732798699008, 189.91867, -26.75817,  18.398
   3496371492277752192, 189.86588, -26.77582,  19.730
   3496374859533032064, 189.86047, -26.71170,  19.317
   3496374825173183616, 189.84968, -26.72319,  18.966
   3496375061396902528, 189.88434, -26.70708,  19.271
   3496446976327856640, 189.83625, -26.59666,  19.011
   3496374550297068672, 189.87207, -26.74553,  18.723
   3496369946092049920, 189.82696, -26.79763,  19.227
   3496382895416933376, 190.12458, -26.72143,  18.424
   3496375027037164928, 189.87641, -26.70443,  19.188
   3496371487984316544, 189.86456, -26.75999,  15.661
   3496370152250479872, 189.94627, -26.82985,  19.966
   3496375027037164544, 189.88098, -26.70880,  17.669
   3496372797950333824, 189.81765, -26.79634,  13.419
   3496374992679134464, 189.89311, -26.71556,  17.979
   3496375061396903040, 189.88787, -26.70420,  19.257
   3496371316188165376, 189.89990, -26.77533,  19.294
   3496374515935887488, 189.84076, -26.74435,  19.210
   3496374447215479040, 189.85749, -26.75236,  18.749
   3496395849038370432, 190.02241, -26.67896,  18.940
   3496371457918003200, 189.85952, -26.77678,  19.485
   3496372797950333568, 189.81893, -26.79693,  16.737
   3496425570210830080, 189.63842, -26.62401,  19.192
   3496382311301293184, 190.07826, -26.77633,  15.530
   3496371732797435520, 189.91500, -26.76019,  19.987
   3496372007674616448, 189.90311, -26.73891,  18.493
   3496371281825274368, 189.91964, -26.77376,  18.941
   3496400491899871488, 189.95253, -26.55988,  19.130
   3496371595357127552, 189.87198, -26.75968,  18.740
   3496374550297172864, 189.87497, -26.74698,  15.600
   3496375340569657088, 189.86300, -26.67621,  18.912
   3496370869510789248, 189.96591, -26.78118,  19.361
   3496370942524943616, 189.94638, -26.76319,  19.555
   3496371316188165120, 189.89622, -26.77745,  19.332
   3496374996972017792, 189.90566, -26.71407,  18.968
   3496427872313356160, 189.73437, -26.54080,  19.554
   3496369602494653056, 189.86127, -26.83194,  19.819
   3496356575857036672, 189.92707, -26.90353,  17.172
   3496374996973936896, 189.90216, -26.71693,  19.521
   3496375542434690816, 189.80849, -26.72215,  19.611
   3496372007674639872, 189.89680, -26.73585,  19.075
   3496400453242124544, 189.94748, -26.57011,  19.510
   3496374412855515904, 189.83895, -26.76807,  19.194
   3496396398794179968, 190.10110, -26.68256,  19.576
   3496371526637589248, 189.88946, -26.76826,  19.520
   3496373244626964096, 189.79780, -26.75446,  14.354
   3496375095756345216, 189.90277, -26.70407,  19.333
   3496375989108324096, 189.78035, -26.67512,  19.087
   3496371595357371904, 189.87671, -26.74767,  15.663
   3496371629717276288, 189.88434, -26.74680,  19.383
   3496373996244656896, 189.77838, -26.73962,  18.904
   3496376126547277696, 189.83440, -26.67610,  18.479
