source_id,ra,dec,g,bp_rp
3496372042034482304,189.9064586038731,-26.724582467895907,19.321447,0.61577606
3496371969020445952,189.91323127154118,-26.736822753563647,19.278889000000003,0.65966225
3496363074141746944,189.7628765058255,-26.89647321240629,19.944126,0.5839367
3496372072102475008,189.92312632679523,-26.72467155058465,19.138102,0.53476334
3496374550297195904,189.8675978189492,-26.7467947170021,13.485251000000002,1.2417479
3496371457918011264,189.86023381973374,-26.77467960924297,18.38992,0.7517414000000001
3496375271851853824,189.8696540286573,-26.6971373431148,19.103928,0.66179657
3496373205972476416,189.80625845928031,-26.759648960114202,19.595125,0.59305763
3496373996244880000,189.77111328147583,-26.74833622013092,19.699657000000002,0.71574783
3496374619014699648,189.85506181421948,-26.728449883828503,19.136465,0.66783714
3496371969020446208,189.9180666267271,-26.732577819347984,19.291048,0.68442535
3496371217399842560,189.8878200526501,-26.782025442352587,18.9321,
3496374653374580480,189.86643994207301,-26.718392495658367,19.112337,0.59472847
3496372037741699200,189.90908569507198,-26.724390742265104,18.942223000000002,0.63116646
3496372037739923072,189.9093484609476,-26.733194042253555,17.756664,0.90600014
3496374722095932288,189.8278125411429,-26.73656625147184,19.214083,0.83402634
3496369636854397952,189.87546758443253,-26.82362170204248,18.214048000000002,0.80921173
3496374412855549824,189.8479040749029,-26.763324791963548,19.312986,
3496374515934966784,189.84590699755626,-26.748597362469464,18.532785,0.67191505
3496368880940154112,189.88727907762637,-26.826121282925172,19.164735999999998,0.54008293
3496396501873426304,190.11039898615311,-26.656061294374666,19.017879999999998,2.5597267
3496369911732320512,189.85714095811318,-26.7920351035198,19.399986,0.59301186
3496373210267229056,189.8137397518692,-26.756797264365268,15.744356,0.72488594
3496374619014616448,189.84875090062684,-26.7314694518266,17.848782999999997,0.6820202
3496375233198408320,189.8740721784248,-26.703486257382515,19.194426999999997,0.6962013000000001
3496374584654961792,189.88101826717755,-26.73532003801921,18.633406,0.6603565
3496423714784979840,189.78321162808368,-26.597505306514254,19.825697,0.82006073
3496369843012830720,189.8287962712222,-26.806009237981677,18.834295,0.69483566
3496373480848526976,189.7483778469331,-26.771735920722893,19.684969,0.6496105
3496374962612209536,189.88147707091,-26.724849805174195,19.232689999999998,
3496370530207629952,189.93268005683814,-26.792262591054502,19.653233,0.6219826
3496371561000001536,189.89426212471542,-26.75475767857788,19.311615,0.61138344
3496371217399841280,189.88738850748678,-26.78228467799566,15.871858,0.17197418
3496374584656906624,189.8710091049455,-26.739512782506804,15.376517000000002,0.8604889000000001
3496372797950329728,189.81241554091386,-26.802513450552524,18.902601,0.7156601
3496371423558271872,189.8774584137813,-26.779500192470497,18.659254,0.7148266
3496371560997808768,189.90278924756612,-26.750469455734443,19.056637,0.7178745
3496371560998401408,189.9018188549819,-26.74898212738245,19.060913,0.5182762
3496374722095932544,189.83083565627086,-26.73718950626473,19.527601,0.78798866
3496372828013444736,189.786339381836,-26.79605070928155,18.357452,0.56059647
3496369877372569472,189.85171360359828,-26.811073217054204,19.472279,0.48529053
3496398941414850176,189.90714492758408,-26.652080492822453,19.66648,0.73778725
3496374722095932416,189.8281394560045,-26.736155740401724,19.23538,0.7492770999999999
3496371453624565632,189.85398150629345,-26.76752511977251,14.999495999999999,1.1115122
3496374752159254272,189.8184319125997,-26.733137548609662,18.466497,0.6722965
3496371595359740544,189.87957956227692,-26.750827286297802,18.419885999999998,
3496376367065467904,189.82674545645915,-26.65158335312548,19.425745000000003,0.68455887
3496374893892674560,189.83568431662815,-26.718630855987378,19.728476999999998,0.70218086
3496374584654896128,189.8761700913612,-26.736028462251138,18.821054,0.5151329000000001
3496371457918012800,189.85716123931846,-26.773668045789396,18.797256,0.7785491999999999
3496371969020445568,189.9148641589036,-26.73786081100605,17.33792,0.9576969000000001
3496375233198407808,189.86734467825588,-26.70786318934752,18.74841,0.66854477
3496369636854400384,189.8770720385661,-26.81917900528625,18.399466,0.73999405
3496374447215332736,189.8562715047773,-26.760797494176952,19.289621,0.5664654
3496375989108319744,189.78883889703042,-26.678409498104077,19.71915,0.7889919
3496358740520661504,189.9995183760528,-26.824075650998264,18.919035,0.75774956
3496373897461976704,189.76207006914444,-26.75997706602589,18.176976999999997,0.82258224
3496374584655012736,189.87379264491852,-26.729358514762822,15.911751999999998,
3496421176462196480,189.7294919078,-26.715617207054272,19.698349,0.7312411999999999
3496374653374526080,189.8657159846375,-26.72514073620945,18.358257000000002,0.6945858
3496374619014524928,189.8554678283912,-26.73785466632928,15.848042000000001,1.0026121
3496369877372568320,189.84891487584895,-26.812304232071966,19.270618,0.6294135999999999
3496369976158349568,189.84793880504483,-26.784379055096654,19.708038000000002,0.54870415
3496371423558274944,189.8806614379852,-26.779847893501262,18.806463,0.90345764
3496374515936345728,189.84428323863708,-26.742351099601837,19.605812,
3496372965452452352,189.8059255269096,-26.773503481374746,18.531979999999997,0.6905555999999999
3496374756455671936,189.81913288154584,-26.73368403727423,19.536942,0.5537834
3496371560998400256,189.9007936316416,-26.749103053815087,19.452883,0.48526382
3496371560997468544,189.89835659419938,-26.76237190163584,19.418879,0.76660156
3496375542432924928,189.81128873265254,-26.713022741860577,19.216728,0.6371441
3496399422451203200,189.95500262742715,-26.629261795321323,19.163128,0.6582699000000001
3496371629717288832,189.87939759041055,-26.74364381273952,18.62837,0.62207603
3496374786518993536,189.82882905300698,-26.725156692366678,18.850285999999997,0.6493416
3496375237490152320,189.86679852098027,-26.713183420969592,19.126173,0.64422417
3496371595357310976,189.88121120643348,-26.756748036534482,17.035173,0.9727783000000001
3496372381336790784,189.78621361289453,-26.821552040312323,18.812996,0.6890125
3496371457920552704,189.85662999598011,-26.784801703847613,18.689663,0.63495636
3496371350546934016,189.90927350871883,-26.76248866869061,18.388018,0.80322456
3496423577346019456,189.82195188354214,-26.608317507772146,18.69425,0.64575005
3496424058382356736,189.74357442291594,-26.606191534551225,18.966953,0.55862236
3496374584654787968,189.87670497349544,-26.743105137126843,19.311977,
3496423508626543360,189.83115631291557,-26.607406161506056,19.41003,0.62047386
3496374412855512064,189.8416753208279,-26.769678008356404,19.596048,
3496372042035068544,189.90267521847144,-26.728272013173772,19.217106,0.35067558
3496398872697357568,189.90725318271268,-26.658707932397824,17.03182,0.9655323
3496372759297140992,189.80219607865138,-26.80591522822724,19.041635999999997,0.63726234
3496401110375164032,190.0131905343824,-26.566613863798977,14.904143,1.1207418
3496371595357128832,189.87689302044043,-26.760351460577716,18.025305,0.7477493000000001
3496371560997810432,189.89743757582872,-26.74896059620648,19.496403,
