#NUMBER OF AGES= 1 MAGS= 3
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2457 4.2491E-04 4.2491E-04  -1.60   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Gaia DR2 Revised (Vega)
#----------------------------------------------------       
#AGE=11.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo  Gaia_G Gaia_BP Gaia_RP
  89  0.711640  3.7829  4.5302 -0.1550  5.0863  5.3355  4.6652
  90  0.716149  3.7853  4.5209 -0.1332  5.0324  5.2776  4.6159
  91  0.720562  3.7878  4.5115 -0.1115  4.9789  5.2202  4.5669
  92  0.724872  3.7900  4.5019 -0.0901  4.9259  5.1635  4.5183
  93  0.729074  3.7923  4.4920 -0.0688  4.8734  5.1074  4.4700
  94  0.733168  3.7944  4.4820 -0.0477  4.8214  5.0519  4.4221
  95  0.737151  3.7965  4.4717 -0.0268  4.7699  4.9970  4.3749
  96  0.741028  3.7985  4.4611 -0.0060  4.7189  4.9428  4.3277
  97  0.744797  3.8004  4.4504  0.0146  4.6682  4.8890  4.2808
  98  0.748463  3.8022  4.4393  0.0349  4.6179  4.8358  4.2339
  99  0.752020  3.8039  4.4280  0.0552  4.5678  4.7831  4.1872
 100  0.755466  3.8055  4.4165  0.0753  4.5181  4.7309  4.1409
 101  0.758808  3.8071  4.4047  0.0952  4.4688  4.6791  4.0947
 102  0.762053  3.8086  4.3927  0.1150  4.4198  4.6279  4.0488
 103  0.765207  3.8100  4.3805  0.1347  4.3711  4.5769  4.0029
 104  0.768272  3.8114  4.3681  0.1543  4.3227  4.5264  3.9573
 105  0.771258  3.8127  4.3554  0.1737  4.2745  4.4763  3.9118
 106  0.774169  3.8138  4.3425  0.1930  4.2266  4.4265  3.8664
 107  0.777014  3.8149  4.3294  0.2122  4.1789  4.3771  3.8211
 108  0.779803  3.8160  4.3161  0.2313  4.1315  4.3280  3.7760
 109  0.782537  3.8170  4.3026  0.2502  4.0842  4.2793  3.7309
 110  0.785224  3.8179  4.2889  0.2690  4.0373  4.2310  3.6861
 111  0.787862  3.8187  4.2750  0.2878  3.9906  4.1830  3.6412
 112  0.788646  3.8190  4.2707  0.2935  3.9763  4.1682  3.6276
 113  0.789428  3.8193  4.2665  0.2994  3.9618  4.1532  3.6137
 114  0.790210  3.8196  4.2624  0.3052  3.9473  4.1382  3.5999
 115  0.790990  3.8200  4.2584  0.3111  3.9325  4.1229  3.5859
 116  0.791771  3.8203  4.2542  0.3171  3.9176  4.1074  3.5718
 117  0.792550  3.8207  4.2500  0.3231  3.9026  4.0919  3.5576
 118  0.793329  3.8211  4.2458  0.3292  3.8874  4.0762  3.5432
 119  0.794106  3.8214  4.2414  0.3353  3.8721  4.0604  3.5286
 120  0.794881  3.8216  4.2367  0.3416  3.8566  4.0444  3.5138
 121  0.795654  3.8219  4.2319  0.3479  3.8409  4.0283  3.4988
 122  0.796424  3.8221  4.2268  0.3542  3.8250  4.0120  3.4834
 123  0.797191  3.8223  4.2216  0.3606  3.8089  3.9956  3.4678
 124  0.797955  3.8225  4.2162  0.3671  3.7925  3.9790  3.4518
 125  0.798716  3.8227  4.2107  0.3737  3.7760  3.9623  3.4357
 126  0.799474  3.8228  4.2050  0.3804  3.7594  3.9454  3.4195
 127  0.800229  3.8229  4.1992  0.3871  3.7425  3.9283  3.4029
 128  0.800982  3.8230  4.1932  0.3939  3.7255  3.9112  3.3862
 129  0.801732  3.8231  4.1871  0.4007  3.7083  3.8938  3.3693
 130  0.802480  3.8231  4.1809  0.4076  3.6910  3.8764  3.3522
 131  0.803223  3.8232  4.1745  0.4146  3.6736  3.8589  3.3349
 132  0.803963  3.8233  4.1679  0.4215  3.6559  3.8411  3.3174
 133  0.804698  3.8232  4.1611  0.4286  3.6381  3.8233  3.2996
 134  0.805428  3.8231  4.1541  0.4358  3.6200  3.8053  3.2816
 135  0.806153  3.8230  4.1468  0.4430  3.6018  3.7873  3.2632
 136  0.806872  3.8228  4.1393  0.4503  3.5834  3.7690  3.2448
 137  0.807584  3.8227  4.1316  0.4576  3.5649  3.7506  3.2259
 138  0.808290  3.8224  4.1237  0.4651  3.5461  3.7322  3.2068
 139  0.808988  3.8221  4.1155  0.4725  3.5272  3.7137  3.1875
 140  0.809680  3.8218  4.1071  0.4801  3.5080  3.6949  3.1678
 141  0.810362  3.8215  4.0983  0.4877  3.4887  3.6761  3.1479
 142  0.811037  3.8210  4.0893  0.4954  3.4692  3.6572  3.1276
 143  0.811700  3.8206  4.0800  0.5031  3.4496  3.6383  3.1071
 144  0.812355  3.8200  4.0704  0.5109  3.4297  3.6192  3.0862
 145  0.812999  3.8194  4.0604  0.5188  3.4097  3.6001  3.0651
 146  0.813632  3.8187  4.0501  0.5267  3.3894  3.5808  3.0435
 147  0.814253  3.8180  4.0394  0.5347  3.3691  3.5616  3.0217
 148  0.814862  3.8171  4.0283  0.5427  3.3486  3.5423  2.9995
 149  0.815457  3.8162  4.0168  0.5508  3.3279  3.5231  2.9770
 150  0.816039  3.8152  4.0048  0.5589  3.3070  3.5038  2.9541
 151  0.816608  3.8141  3.9924  0.5671  3.2861  3.4846  2.9308
 152  0.817161  3.8128  3.9794  0.5753  3.2649  3.4654  2.9072
 153  0.817700  3.8113  3.9659  0.5836  3.2438  3.4464  2.8832
 154  0.818223  3.8099  3.9519  0.5919  3.2224  3.4274  2.8588
 155  0.818730  3.8082  3.9372  0.6001  3.2010  3.4086  2.8342
 156  0.819221  3.8064  3.9221  0.6084  3.1797  3.3900  2.8093
 157  0.819698  3.8045  3.9064  0.6167  3.1582  3.3715  2.7841
 158  0.820158  3.8025  3.8901  0.6251  3.1369  3.3532  2.7589
 159  0.820604  3.8003  3.8733  0.6334  3.1157  3.3353  2.7335
 160  0.821035  3.7979  3.8558  0.6416  3.0946  3.3177  2.7081
 161  0.821452  3.7953  3.8374  0.6499  3.0737  3.3008  2.6823
 162  0.821785  3.7924  3.8190  0.6566  3.0565  3.2882  2.6597
 163  0.822117  3.7892  3.7997  0.6634  3.0394  3.2760  2.6366
 164  0.822445  3.7858  3.7794  0.6702  3.0223  3.2644  2.6130
 165  0.822773  3.7824  3.7590  0.6771  3.0052  3.2527  2.5894
 166  0.823099  3.7789  3.7388  0.6840  2.9879  3.2411  2.5657
 167  0.823419  3.7751  3.7167  0.6907  2.9711  3.2311  2.5411
 168  0.823735  3.7711  3.6941  0.6975  2.9546  3.2218  2.5164
 169  0.824055  3.7675  3.6729  0.7045  2.9377  3.2114  2.4925
 170  0.824375  3.7642  3.6527  0.7118  2.9202  3.1996  2.4688
 171  0.824687  3.7612  3.6330  0.7195  2.9019  3.1868  2.4445
 172  0.824985  3.7582  3.6129  0.7278  2.8823  3.1726  2.4192
 173  0.825265  3.7554  3.5931  0.7366  2.8612  3.1567  2.3928
 174  0.825527  3.7530  3.5740  0.7461  2.8386  3.1385  2.3655
 175  0.825772  3.7509  3.5557  0.7561  2.8148  3.1186  2.3376
 176  0.826001  3.7490  3.5380  0.7665  2.7899  3.0972  2.3091
 177  0.826217  3.7475  3.5210  0.7772  2.7641  3.0744  2.2803
 178  0.826422  3.7459  3.5043  0.7880  2.7379  3.0509  2.2514
 179  0.826617  3.7447  3.4882  0.7991  2.7110  3.0265  2.2221
 180  0.826805  3.7435  3.4725  0.8103  2.6840  3.0017  2.1929
 181  0.826987  3.7424  3.4571  0.8215  2.6566  2.9762  2.1635
 182  0.827197  3.7413  3.4391  0.8350  2.6236  2.9453  2.1284
 183  0.827404  3.7403  3.4213  0.8490  2.5898  2.9135  2.0927
 184  0.827611  3.7393  3.4034  0.8630  2.5552  2.8806  2.0564
 185  0.827815  3.7385  3.3857  0.8775  2.5201  2.8472  2.0196
 186  0.828018  3.7377  3.3681  0.8920  2.4844  2.8131  1.9825
 187  0.828220  3.7369  3.3505  0.9067  2.4483  2.7784  1.9451
 188  0.828421  3.7362  3.3330  0.9215  2.4119  2.7433  1.9075
 189  0.828621  3.7356  3.3155  0.9365  2.3753  2.7078  1.8695
 190  0.828821  3.7349  3.2981  0.9514  2.3382  2.6720  1.8314
 191  0.829020  3.7344  3.2808  0.9666  2.3011  2.6360  1.7932
 192  0.829218  3.7338  3.2634  0.9818  2.2635  2.5995  1.7546
 193  0.829416  3.7333  3.2460  0.9972  2.2256  2.5625  1.7156
 194  0.829612  3.7327  3.2284  1.0128  2.1873  2.5253  1.6765
 195  0.829806  3.7322  3.2108  1.0284  2.1487  2.4877  1.6370
 196  0.830001  3.7317  3.1932  1.0442  2.1097  2.4497  1.5971
 197  0.830194  3.7312  3.1754  1.0601  2.0704  2.4113  1.5569
 198  0.830385  3.7308  3.1577  1.0761  2.0309  2.3727  1.5165
 199  0.830575  3.7303  3.1396  1.0925  1.9905  2.3333  1.4752
 200  0.830759  3.7299  3.1209  1.1093  1.9490  2.2927  1.4329
 201  0.830939  3.7294  3.1017  1.1267  1.9061  2.2509  1.3891
 202  0.831113  3.7289  3.0820  1.1446  1.8619  2.2076  1.3439
 203  0.831283  3.7284  3.0616  1.1629  1.8167  2.1635  1.2977
 204  0.831448  3.7279  3.0411  1.1817  1.7703  2.1180  1.2504
 205  0.831609  3.7273  3.0200  1.2007  1.7231  2.0720  1.2023
 206  0.831764  3.7269  2.9984  1.2202  1.6750  2.0250  1.1530
 207  0.831915  3.7262  2.9763  1.2402  1.6260  1.9772  1.1028
 208  0.832062  3.7256  2.9537  1.2603  1.5763  1.9289  1.0519
 209  0.832205  3.7250  2.9308  1.2808  1.5258  1.8799  1.0001
 210  0.832343  3.7243  2.9075  1.3015  1.4747  1.8301  0.9478
 211  0.832477  3.7236  2.8839  1.3226  1.4229  1.7799  0.8947
 212  0.832607  3.7230  2.8600  1.3438  1.3706  1.7290  0.8410
 213  0.832733  3.7223  2.8358  1.3652  1.3178  1.6778  0.7867
 214  0.832855  3.7216  2.8114  1.3870  1.2643  1.6258  0.7319
 215  0.832972  3.7209  2.7867  1.4089  1.2104  1.5736  0.6765
 216  0.833086  3.7202  2.7615  1.4310  1.1562  1.5209  0.6206
 217  0.833107  3.7200  2.7567  1.4352  1.1459  1.5112  0.6102
 218  0.833128  3.7199  2.7521  1.4393  1.1358  1.5012  0.5997
 219  0.833148  3.7197  2.7474  1.4435  1.1254  1.4910  0.5890
 220  0.833170  3.7196  2.7426  1.4478  1.1149  1.4810  0.5784
 221  0.833190  3.7194  2.7378  1.4520  1.1046  1.4709  0.5677
 222  0.833211  3.7193  2.7330  1.4563  1.0941  1.4608  0.5569
 223  0.833231  3.7191  2.7281  1.4605  1.0836  1.4506  0.5461
 224  0.833251  3.7190  2.7232  1.4648  1.0731  1.4405  0.5353
 225  0.833272  3.7188  2.7183  1.4692  1.0626  1.4303  0.5244
 226  0.833292  3.7187  2.7134  1.4735  1.0519  1.4200  0.5135
 227  0.833494  3.7171  2.6615  1.5191  0.9401  1.3117  0.3985
 228  0.833676  3.7154  2.6106  1.5637  0.8312  1.2064  0.2863
 229  0.833843  3.7139  2.5595  1.6086  0.7213  1.1001  0.1733
 230  0.833996  3.7124  2.5093  1.6528  0.6132  0.9954  0.0622
 231  0.834132  3.7107  2.4595  1.6959  0.5084  0.8945 -0.0462
 232  0.834258  3.7090  2.4096  1.7389  0.4037  0.7939 -0.1545
 233  0.834376  3.7071  2.3584  1.7828  0.2971  0.6917 -0.2650
 234  0.834484  3.7053  2.3075  1.8264  0.1917  0.5910 -0.3743
 235  0.834584  3.7033  2.2553  1.8709  0.0842  0.4884 -0.4862
 236  0.834672  3.7013  2.2027  1.9155 -0.0235  0.3859 -0.5985
 237  0.834753  3.6995  2.1537  1.9572 -0.1239  0.2905 -0.7032
 238  0.834829  3.6977  2.1065  1.9971 -0.2204  0.1988 -0.8038
 239  0.834897  3.6961  2.0633  2.0339 -0.3089  0.1147 -0.8960
 240  0.834962  3.6947  2.0261  2.0655 -0.3853  0.0422 -0.9756
 241  0.835023  3.6943  2.0107  2.0792 -0.4188  0.0098 -1.0102
 242  0.835085  3.6948  2.0159  2.0765 -0.4136  0.0135 -1.0036
 243  0.835150  3.6926  1.9644  2.1194 -0.5160 -0.0830 -1.1112
 244  0.835209  3.6904  1.9095  2.1650 -0.6246 -0.1851 -1.2252
 245  0.835262  3.6882  1.8579  2.2079 -0.7265 -0.2805 -1.3323
 246  0.835311  3.6860  1.8086  2.2486 -0.8230 -0.3709 -1.4340
 247  0.835354  3.6842  1.7669  2.2830 -0.9042 -0.4466 -1.5195
 248  0.835395  3.6822  1.7214  2.3208 -0.9933 -0.5298 -1.6133
