# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr 13 18:55:53 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gaia_G    Gaia_BP  Gaia_RP
0.00089016 -1.24100 10.04532 0.6135512590 2.3300733566    0.613 -0.625  3.7201  4.683    1  0.000  0.544     0.00     0.00 -1 -1.73e-14      0.00 7.926e-01 2.067e-01 1.386e-04 3.743e-05 3.398e-04 -1.000 7.858e-04 6.332 6.297 6.685 5.738
0.00089016 -1.24100 10.04532 0.6286278367 2.3395130634    0.628 -0.561  3.7295  4.667    1  0.000  0.543     0.00     0.00 -1 -2.02e-14      0.00 7.956e-01 2.036e-01 1.368e-04 3.696e-05 3.356e-04 -1.000 7.679e-04 6.173 6.128 6.495 5.588
0.00089016 -1.24100 10.04532 0.6415626407 2.3472063541    0.641 -0.507  3.7374  4.653    1  0.000  0.543     0.00     0.00 -1 -2.27e-14      0.00 7.983e-01 2.009e-01 1.352e-04 3.655e-05 3.319e-04 -1.000 8.117e-04 6.036 5.985 6.336 5.460
0.00089016 -1.24100 10.04532 0.6499999762 2.3520355225    0.650 -0.471  3.7425  4.643    1  0.000  0.543     0.00     0.00 -1 -2.51e-14      0.00 8.002e-01 1.990e-01 1.342e-04 3.627e-05 3.294e-04 -1.000 7.414e-04 5.946 5.892 6.232 5.377
0.00089016 -1.24100 10.04532 0.6520364881 2.3531794548    0.652 -0.462  3.7436  4.640    1  0.000  0.543     0.00     0.00 -1 -2.56e-14      0.00 8.008e-01 1.985e-01 1.339e-04 3.619e-05 3.286e-04 -1.000 7.339e-04 5.925 5.870 6.207 5.357
0.00089016 -1.24100 10.04532 0.6661543846 2.3608899117    0.666 -0.402  3.7513  4.620    1  0.000  0.543     0.00     0.00 -1 -2.98e-14      0.00 8.046e-01 1.947e-01 1.317e-04 3.561e-05 3.234e-04 -1.000 7.329e-04 5.774 5.716 6.037 5.220
0.00089016 -1.24100 10.04532 0.6795578003 2.3678703308    0.679 -0.343  3.7584  4.599    1  0.000  0.543     0.00     0.00 -1 -3.46e-14      0.00 8.085e-01 1.908e-01 1.295e-04 3.503e-05 3.182e-04 -1.000 7.329e-04 5.629 5.570 5.875 5.089
0.00089016 -1.24100 10.04532 0.6919667125 2.3740563393    0.692 -0.289  3.7647  4.578    1  0.000  0.542     0.00     0.00 -1 -3.99e-14      0.00 8.123e-01 1.870e-01 1.274e-04 3.445e-05 3.131e-04 -1.000 7.309e-04 5.492 5.434 5.726 4.967
0.00089016 -1.24100 10.04532 0.6999999881 2.3779268265    0.700 -0.253  3.7687  4.563    1  0.000  0.542     0.00     0.00 -1 -4.38e-14      0.00 8.149e-01 1.844e-01 1.259e-04 3.406e-05 3.096e-04 -1.000 7.329e-04 5.402 5.344 5.628 4.886
0.00089016 -1.24100 10.04532 0.7011947036 2.3784937859    0.701 -0.247  3.7693  4.560    1  0.000  0.542     0.00     0.00 -1 -4.45e-14      0.00 8.153e-01 1.839e-01 1.256e-04 3.399e-05 3.090e-04 -1.000 7.317e-04 5.389 5.331 5.614 4.874
0.00089016 -1.24100 10.04532 0.7101375461 2.3826677799    0.710 -0.206  3.7735  4.541    1  0.000  0.540     0.00     0.00 -1 -4.96e-14      0.00 8.190e-01 1.803e-01 1.232e-04 3.343e-05 3.041e-04 -1.000 6.987e-04 5.285 5.229 5.503 4.781
0.00089016 -1.24100 10.04532 0.7221472263 2.3880865574    0.722 -0.149  3.7789  4.513    1  0.000  0.538     0.00     0.00 -1 -5.79e-14      0.00 8.243e-01 1.751e-01 1.199e-04 3.263e-05 2.970e-04 -1.000 6.503e-04 5.143 5.088 5.351 4.652
0.00089016 -1.24100 10.04532 0.7332436442 2.3929121494    0.733 -0.094  3.7837  4.484    1  0.000  0.536     0.00     0.00 -1 -6.74e-14      0.00 8.294e-01 1.700e-01 1.166e-04 3.185e-05 2.900e-04 -1.000 6.329e-04 5.006 4.953 5.207 4.527
0.00089016 -1.24100 10.04532 0.7437397242 2.3973248005    0.743 -0.040  3.7881  4.453    1  0.000  0.534     0.00     0.00 -1 -7.86e-14      0.00 8.345e-01 1.648e-01 1.134e-04 3.106e-05 2.831e-04 -1.000 6.328e-04 4.870 4.818 5.064 4.402
0.00089016 -1.24100 10.04532 0.7500000000 2.3998889923    0.750 -0.007  3.7905  4.433    1  0.000  0.533     0.00     0.00 -1 -8.64e-14      0.00 8.377e-01 1.616e-01 1.114e-04 3.057e-05 2.787e-04 -1.000 6.328e-04 4.786 4.736 4.977 4.325
0.00089016 -1.24100 10.04532 0.7594824433 2.4036808014    0.759  0.047  3.7940  4.400    1  0.000  0.532     0.00     0.00 -1 -1.01e-13      0.00 8.423e-01 1.571e-01 1.089e-04 2.992e-05 2.730e-04 -1.000 6.329e-04 4.654 4.604 4.839 4.201
0.00089016 -1.24100 10.04532 0.7688731551 2.4073300362    0.768  0.103  3.7972  4.362    1  0.000  0.531     0.00     0.00 -1 -1.19e-13      0.00 8.465e-01 1.529e-01 1.069e-04 2.937e-05 2.681e-04 -1.000 6.328e-04 4.513 4.464 4.693 4.068
0.00089016 -1.24100 10.04532 0.7775250077 2.4106025696    0.777  0.158  3.8000  4.322    1  0.000  0.531     0.00     0.00 -1 -1.41e-13      0.00 8.499e-01 1.495e-01 1.053e-04 2.894e-05 2.643e-04 -1.000 6.328e-04 4.375 4.326 4.550 3.937
0.00089016 -1.24100 10.04532 0.7855725288 2.4135720730    0.785  0.212  3.8023  4.282    1  0.000  0.530     0.00     0.00 -1 -1.66e-13      0.00 8.526e-01 1.467e-01 1.040e-04 2.862e-05 2.615e-04 -1.000 6.262e-04 4.239 4.190 4.411 3.807
0.00089016 -1.24100 10.04532 0.7927653790 2.4161679745    0.792  0.264  3.8039  4.240    1  0.000  0.530     0.00     0.00 -1 -1.95e-13      0.00 8.545e-01 1.449e-01 1.033e-04 2.843e-05 2.599e-04 -1.000 6.315e-04 4.111 4.061 4.279 3.682
0.00089016 -1.24100 10.04532 0.7990686893 2.4183983803    0.798  0.312  3.8048  4.199    1  0.000  0.530     0.00     0.00 -1 -2.29e-13      0.00 8.547e-01 1.446e-01 1.034e-04 2.846e-05 2.602e-04 -1.000 6.470e-04 3.989 3.939 4.155 3.562
0.00089016 -1.24100 10.04532 0.8000000119 2.4187245369    0.799  0.320  3.8049  4.193    1  0.000  0.530     0.00     0.00 -1 -2.34e-13      0.00 8.547e-01 1.446e-01 1.034e-04 2.847e-05 2.603e-04 -1.000 6.493e-04 3.971 3.921 4.136 3.544
