# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr 13 18:34:22 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gaia_G    Gaia_BP  Gaia_RP
0.00039019 -1.60000 10.04139 0.6000000238 2.3211214542    0.600 -0.649  3.7221  4.706    1  0.000  0.544     0.00     0.00 -1 -1.61e-14      0.00 7.923e-01 2.073e-01 6.363e-05 1.719e-05 1.560e-04 -1.000 3.439e-04 6.393 6.363 6.746 5.806
0.00039019 -1.60000 10.04139 0.6128194928 2.3296015263    0.612 -0.595  3.7298  4.691    1  0.000  0.544     0.00     0.00 -1 -1.84e-14      0.00 7.955e-01 2.041e-01 6.280e-05 1.697e-05 1.540e-04 -1.000 3.481e-04 6.257 6.219 6.584 5.679
0.00039019 -1.60000 10.04139 0.6261377335 2.3379898071    0.626 -0.538  3.7377  4.675    1  0.000  0.543     0.00     0.00 -1 -2.11e-14      0.00 7.990e-01 2.007e-01 6.190e-05 1.672e-05 1.519e-04 -1.000 3.358e-04 6.115 6.072 6.420 5.548
0.00039019 -1.60000 10.04139 0.6375349760 2.3448493481    0.637 -0.489  3.7444  4.661    1  0.000  0.543     0.00     0.00 -1 -2.38e-14      0.00 8.021e-01 1.976e-01 6.110e-05 1.651e-05 1.500e-04 -1.000 3.367e-04 5.993 5.947 6.281 5.436
0.00039019 -1.60000 10.04139 0.6485611200 2.3512220383    0.648 -0.441  3.7508  4.646    1  0.000  0.543     0.00     0.00 -1 -2.68e-14      0.00 8.052e-01 1.945e-01 6.029e-05 1.629e-05 1.480e-04 -1.000 3.428e-04 5.873 5.827 6.147 5.329
0.00039019 -1.60000 10.04139 0.6499999762 2.3520355225    0.650 -0.435  3.7516  4.644    1  0.000  0.543     0.00     0.00 -1 -2.72e-14      0.00 8.056e-01 1.941e-01 6.018e-05 1.627e-05 1.478e-04 -1.000 3.356e-04 5.858 5.811 6.129 5.315
0.00039019 -1.60000 10.04139 0.6612002850 2.3582274914    0.661 -0.386  3.7576  4.627    1  0.000  0.543     0.00     0.00 -1 -3.08e-14      0.00 8.097e-01 1.900e-01 5.913e-05 1.599e-05 1.452e-04 -1.000 3.332e-04 5.735 5.689 5.993 5.206
0.00039019 -1.60000 10.04139 0.6745647788 2.3653073311    0.674 -0.327  3.7645  4.604    1  0.000  0.542     0.00     0.00 -1 -3.59e-14      0.00 8.148e-01 1.849e-01 5.780e-05 1.564e-05 1.421e-04 -1.000 3.459e-04 5.587 5.542 5.832 5.075
0.00039019 -1.60000 10.04139 0.6869372725 2.3715801239    0.687 -0.271  3.7708  4.581    1  0.000  0.542     0.00     0.00 -1 -4.15e-14      0.00 8.199e-01 1.797e-01 5.647e-05 1.528e-05 1.389e-04 -1.000 3.435e-04 5.448 5.405 5.682 4.951
0.00039019 -1.60000 10.04139 0.6983032823 2.3771178722    0.698 -0.219  3.7764  4.558    1  0.000  0.542     0.00     0.00 -1 -4.73e-14      0.00 8.250e-01 1.747e-01 5.518e-05 1.493e-05 1.358e-04 -1.000 3.293e-04 5.317 5.276 5.542 4.834
0.00039019 -1.60000 10.04139 0.6999999881 2.3779268265    0.700 -0.211  3.7772  4.555    1  0.000  0.542     0.00     0.00 -1 -4.87e-14      0.00 8.258e-01 1.739e-01 5.498e-05 1.488e-05 1.353e-04 -1.000 3.169e-04 5.297 5.256 5.521 4.816
0.00039019 -1.60000 10.04139 0.7090131640 2.3821494579    0.709 -0.167  3.7814  4.534    1  0.000  0.540     0.00     0.00 -1 -5.47e-14      0.00 8.308e-01 1.689e-01 5.352e-05 1.453e-05 1.322e-04 -1.000 2.458e-04 5.189 5.150 5.406 4.719
0.00039019 -1.60000 10.04139 0.7194936872 2.3869071007    0.719 -0.116  3.7862  4.507    1  0.000  0.538     0.00     0.00 -1 -6.31e-14      0.00 8.367e-01 1.630e-01 5.184e-05 1.411e-05 1.285e-04 -1.000 2.622e-04 5.059 5.023 5.270 4.602
0.00039019 -1.60000 10.04139 0.7293736339 2.3912482262    0.729 -0.065  3.7906  4.480    1  0.000  0.536     0.00     0.00 -1 -7.27e-14      0.00 8.422e-01 1.576e-01 5.031e-05 1.374e-05 1.252e-04 -1.000 2.567e-04 4.932 4.897 5.137 4.486
0.00039019 -1.60000 10.04139 0.7380453944 2.3949487209    0.738 -0.018  3.7943  4.453    1  0.000  0.534     0.00     0.00 -1  -8.3e-14      0.00 8.468e-01 1.530e-01 4.905e-05 1.343e-05 1.225e-04 -1.000 2.522e-04 4.814 4.781 5.014 4.378
0.00039019 -1.60000 10.04139 0.7466074228 2.3985054493    0.746  0.031  3.7978  4.423    1  0.000  0.532     0.00     0.00 -1 -9.54e-14      0.00 8.511e-01 1.487e-01 4.789e-05 1.315e-05 1.200e-04 -1.000 2.500e-04 4.693 4.661 4.887 4.266
0.00039019 -1.60000 10.04139 0.7500000000 2.3998889923    0.749  0.051  3.7992  4.411    1  0.000  0.531     0.00     0.00 -1 -1.01e-13      0.00 8.527e-01 1.471e-01 4.745e-05 1.304e-05 1.191e-04 -1.000 2.459e-04 4.643 4.612 4.836 4.220
0.00039019 -1.60000 10.04139 0.7581292987 2.4031462669    0.758  0.100  3.8025  4.379    1  0.000  0.531     0.00     0.00 -1 -1.17e-13      0.00 8.545e-01 1.453e-01 4.720e-05 1.298e-05 1.186e-04 -1.000 2.502e-04 4.520 4.489 4.707 4.105
0.00039019 -1.60000 10.04139 0.7660931945 2.4062604904    0.765  0.152  3.8057  4.345    1  0.000  0.530     0.00     0.00 -1 -1.36e-13      0.00 8.561e-01 1.436e-01 4.700e-05 1.293e-05 1.182e-04 -1.000 2.646e-04 4.390 4.359 4.573 3.983
0.00039019 -1.60000 10.04139 0.7734334469 2.4090654850    0.773  0.203  3.8085  4.309    1  0.000  0.530     0.00     0.00 -1 -1.59e-13      0.00 8.574e-01 1.423e-01 4.684e-05 1.289e-05 1.179e-04 -1.000 2.600e-04 4.263 4.232 4.440 3.862
0.00039019 -1.60000 10.04139 0.7801513672 2.4115793705    0.779  0.253  3.8109  4.272    1  0.000  0.529     0.00     0.00 -1 -1.85e-13      0.00 8.585e-01 1.412e-01 4.672e-05 1.286e-05 1.177e-04 -1.000 2.459e-04 4.138 4.107 4.311 3.742
0.00039019 -1.60000 10.04139 0.7862984538 2.4138367176    0.785  0.302  3.8127  4.234    1  0.000  0.529     0.00     0.00 -1 -2.15e-13      0.00 8.593e-01 1.405e-01 4.668e-05 1.286e-05 1.177e-04 -1.000 2.740e-04 4.016 3.984 4.186 3.624
0.00039019 -1.60000 10.04139 0.7920245528 2.4159030914    0.791  0.350  3.8139  4.193    1  0.000  0.529     0.00     0.00 -1 -2.51e-13      0.00 8.589e-01 1.408e-01 4.690e-05 1.292e-05 1.182e-04 -1.000 2.994e-04 3.894 3.861 4.061 3.504
0.00039019 -1.60000 10.04139 0.7959476113 2.4172990322    0.795  0.385  3.8144  4.163    1  0.000  0.529     0.00     0.00 -1 -2.82e-13      0.00 8.583e-01 1.413e-01 4.711e-05 1.298e-05 1.188e-04 -1.000 3.130e-04 3.808 3.774 3.973 3.419
0.00039019 -1.60000 10.04139 0.7974295020 2.4178223610    0.796  0.399  3.8143  4.149    1  0.000  0.529     0.00     0.00 -1 -2.97e-13      0.00 8.581e-01 1.416e-01 4.720e-05 1.300e-05 1.190e-04 -1.000 3.152e-04 3.772 3.737 3.936 3.382
0.00039019 -1.60000 10.04139 0.8000000119 2.4187245369    0.799  0.426  3.8137  4.121    1  0.000  0.529     0.00     0.00 -1 -3.24e-13      0.00 8.577e-01 1.420e-01 4.735e-05 1.305e-05 1.194e-04 -1.000 3.188e-04 3.705 3.670 3.870 3.314
0.00039019 -1.60000 10.04139 0.8030903935 2.4198005199    0.802  0.458  3.8130  4.088    1  0.000  0.529     0.00     0.00 -1 -3.61e-13      0.00 8.567e-01 1.430e-01 4.766e-05 1.313e-05 1.202e-04 -1.000 3.205e-04 3.625 3.589 3.789 3.231
0.00039019 -1.60000 10.04139 0.8074811697 2.4213130474    0.806  0.511  3.8097  4.024    1  0.000  0.529     0.00     0.00 -1 -4.38e-13      0.00 8.553e-01 1.444e-01 4.810e-05 1.325e-05 1.212e-04 -1.000 3.230e-04 3.491 3.454 3.659 3.090
0.00039019 -1.60000 10.04139 0.8082236052 2.4215669632    0.807  0.521  3.8089  4.011    1  0.000  0.529     0.00     0.00 -1 -4.58e-13      0.00 8.550e-01 1.446e-01 4.817e-05 1.327e-05 1.214e-04 -1.000 3.234e-04 3.467 3.428 3.635 3.063
0.00039019 -1.60000 10.04139 0.8089233041 2.4218056202    0.807  0.532  3.8077  3.996    1  0.000  0.529     0.00     0.00 -1 -4.76e-13      0.00 8.548e-01 1.449e-01 4.824e-05 1.329e-05 1.216e-04 -1.000 3.238e-04 3.441 3.402 3.611 3.035
0.00039019 -1.60000 10.04139 0.8112744093 2.4226045609    0.810  0.568  3.8027  3.941    2  0.000  0.529     0.00     0.00 -1 -5.48e-13      0.00 8.540e-01 1.456e-01 4.847e-05 1.335e-05 1.222e-04 -1.000 3.250e-04 3.349 3.309 3.525 2.931
0.00039019 -1.60000 10.04139 0.8130659461 2.4232096672    0.811  0.600  3.7968  3.886    2  0.000  0.529     0.00     0.00 -1 -6.27e-13      0.00 8.535e-01 1.462e-01 4.865e-05 1.340e-05 1.226e-04 -1.000 3.261e-04 3.270 3.228 3.454 2.838
0.00039019 -1.60000 10.04139 0.8144637346 2.4236798286    0.813  0.628  3.7896  3.830    2  0.000  0.529     0.00     0.00 -1 -7.14e-13      0.00 8.530e-01 1.467e-01 4.879e-05 1.344e-05 1.230e-04 -1.000 3.268e-04 3.199 3.156 3.394 2.752
0.00039019 -1.60000 10.04139 0.8155881166 2.4240565300    0.814  0.653  3.7820  3.776    2  0.000  0.530     0.00     0.00 -1 -8.04e-13      0.00 8.446e-01 1.551e-01 5.144e-05 1.416e-05 1.295e-04 -1.000 3.232e-04 3.138 3.095 3.345 2.674
0.00039019 -1.60000 10.04139 0.8165243864 2.4243693352    0.815  0.675  3.7743  3.724    2  0.000  0.531     0.00     0.00 -1 -8.98e-13      0.00 8.291e-01 1.706e-01 5.569e-05 1.531e-05 1.398e-04 -1.000 3.127e-04 3.083 3.040 3.305 2.603
0.00039019 -1.60000 10.04139 0.8173398972 2.4246411324    0.816  0.695  3.7669  3.674    2  0.000  0.533     0.00     0.00 -1 -9.97e-13      0.00 8.080e-01 1.916e-01 6.061e-05 1.663e-05 1.515e-04 -1.000 3.394e-04 3.032 2.989 3.267 2.537
0.00039019 -1.60000 10.04139 0.8180922866 2.4248912334    0.816  0.718  3.7597  3.623    2  0.000  0.535     0.00     0.00 -1 -1.11e-12      0.00 7.905e-01 2.092e-01 6.464e-05 1.770e-05 1.611e-04 -1.000 3.479e-04 2.975 2.933 3.225 2.466
0.00039019 -1.60000 10.04139 0.8188473582 2.4251418114    0.817  0.749  3.7528  3.565    2  0.000  0.536     0.00     0.00 -1 -1.28e-12      0.00 7.790e-01 2.206e-01 6.726e-05 1.840e-05 1.674e-04 -1.000 3.772e-04 2.898 2.859 3.164 2.378
0.00039019 -1.60000 10.04139 0.8194378614 2.4253373146    0.818  0.781  3.7481  3.514    2  0.000  0.536     0.00     0.00 -1 -1.46e-12      0.00 7.734e-01 2.262e-01 6.857e-05 1.875e-05 1.705e-04 -1.000 3.871e-04 2.818 2.781 3.095 2.290
