source_id,ra,dec,g0,bp_rp0,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,v_hel,v_hel_error,good_cand_ibata
2924361047651213184,96.63248049361692,-24.286406431724114,16.89347996705075,0.6226002967386451,0.304456435423736,0.0700226663724502,23.31016308696443,0.08036384629035401,-20.832150007275718,0.11674036540628685,,,
2923136810173916032,97.50641393223316,-26.33956637632825,17.85011545063755,0.7182391937631613,0.4594696248083971,0.12141200511328495,23.855566019503158,0.16540602020490588,-20.123567117000285,0.23074688655659675,,,
2922975147604312448,98.44792188853373,-26.055344371834067,17.783001362925404,0.7626990200849091,0.357811016214484,0.12921185679789862,24.46642417873139,0.1674864880179108,-21.10487242708893,0.2358284526368973,,,
2922944464355415552,98.57601645011762,-26.47804168092573,18.291594566022653,0.7515014637785622,0.3912092629138822,0.1938941914915996,23.46412076801811,0.2403599065124963,-19.528143273115464,0.4030946663081847,,,
2919762198531603456,98.84879300664822,-27.666841124719138,17.97456154795752,0.8302253996124379,0.2840883581165209,0.12349390129765928,22.76150718298565,0.17232327429351332,-18.84377597986642,0.2207277415424948,,,
2919982994209531776,99.35537182610977,-26.46134345575848,19.178020158866943,1.05368002751795,0.6269697474871531,0.2934719625837355,22.84297985624515,0.38710176931260937,-20.054991804800114,0.478123811290491,,,
2919908712754630784,99.83879732564512,-26.8465755050682,17.318021944145812,0.6438074084793779,0.1407069972257293,0.1065545703559844,23.44030568607925,0.13069010485466348,-19.940719705508933,0.1811297165241006,,,
2923457523971828480,99.91760722607208,-25.291356903976816,17.869756907829963,0.7808191710704955,0.3593254682176239,0.1335305268169869,23.71475204697055,0.1542752822870508,-20.40002278821268,0.19565665107508892,,,
2919475019837100288,99.96822206607906,-28.235220390190282,18.68115834597665,0.9081487974384423,0.3523718266687705,0.213652152731033,22.7994724083657,0.2873410963381709,-18.738982343241574,0.3586943377870937,,,
2919619949213987200,100.50838600891464,-27.607358963273807,18.44043861305823,0.8000400967443441,0.25804579217573165,0.24700291757230514,22.08073221239364,0.32391025822814623,-19.224384113991945,0.4909968983165963,,,
2918864520305483264,101.3057831926861,-27.7485052230585,17.903581745956682,0.7992107695228616,0.4388242486661661,0.1133610239055064,22.277819980061192,0.16735232318873686,-18.730416704389032,0.20465031941570147,,,
5584113687085089024,101.56564536821196,-31.61009570528676,17.643828860501046,0.7348345673326783,0.42193156106153423,0.1029267575532583,23.990593739772812,0.1768391531253064,-16.97831896540516,0.1839980540141396,,,
2918553976991085952,101.74302433368423,-28.70488908840041,18.3888984817686,0.8724699796362552,0.21158377072188064,0.2159702078124585,23.61820211518904,0.28120461195685337,-18.89402025915539,0.3420540547536434,,,
2919192204830525312,102.0145886885836,-27.561858614664587,16.502186717179438,0.633583903824179,0.16338979416149044,0.06734889848924888,22.38334450992772,0.08576126228111959,-18.649986586011213,0.0997092365152113,,,
