source_id,transit_id,band,time,mag,flux,flux_error,flux_over_error,rejected_by_photometry,rejected_by_variability,other_flags,solution_id
2990142148280216960,17792778781214311,G,1718.6176697975118,13.712101142956392,61731.3582767161,139.62888359185536,442.11023,false,false,4198913,369295549951641967
2990142148280216960,17792778781214311,G,1730.2532840968581,13.353574748425988,85884.81622190148,52.74767121125055,1628.2201,false,false,1,369295549951641967
2990142148280216960,17792778781214311,G,1754.0793329582677,13.177592583739003,100997.18204294317,106.21148027810938,950.90643,false,false,4097,369295549951641967
2990142148280216960,17792778781214311,G,1754.2555014696675,13.576819666310069,69922.73762581345,60.172491940761105,1162.0382,false,false,1,369295549951641967
2990142148280216960,17792778781214311,G,1872.8207728843481,13.83655416484693,55045.85529358621,26.98569540647504,2039.816,false,false,1,369295549951641967
2990142148280216960,17792778781214311,G,1904.4758285250514,13.664966806509462,64470.2816404056,56.94541971313096,1132.1416,false,false,1,369295549951641967
2990142148280216960,17792778781214311,G,1925.2230786933562,13.034071001687598,115270.42366597934,276.9212226021656,416.25708,false,false,4097,369295549951641967
2990142148280216960,17792778781214311,G,1925.2970523831093,13.261978880347975,93444.71373307622,69.80507100214767,1338.6522,false,false,4194817,369295549951641967
2990142148280216960,17792778781214311,G,2024.1612382829514,13.28771972395482,91255.36372920458,82.59592464912078,1104.841,false,false,4097,369295549951641967
2990142148280216960,17792778781214311,G,2024.3373781577905,13.423485579725487,80528.95402417373,49.894277393482795,1613.9918,false,false,4194817,369295549951641967
2990142148280216960,17792778781214311,G,2024.4114167035737,13.572635961684151,70192.69309370698,78.91123345820006,889.5146,false,false,4097,369295549951641967
2990142148280216960,17792778781214311,G,2036.8429354800696,13.41174086059645,81404.78728630664,74.4081732033198,1094.0302,false,false,4194817,369295549951641967
2990142148280216960,17792778781214311,G,2036.916947322057,13.55723043656233,71195.75754697026,46.90799837733346,1517.7744,false,false,4194817,369295549951641967
2990142148280216960,17792778781214311,G,2075.8120503990995,13.730826029977408,60675.8512624325,58.55186972642719,1036.2753,false,false,32769,369295549951641967
2990142148280216960,17792778781214311,G,2075.886042274993,13.756249852925803,59271.558779682244,80.96044113492262,732.10516,false,false,4097,369295549951641967
2990142148280216960,17792778781214311,G,2111.047297882056,13.69789093680315,62544.6138202461,38.36025799596447,1630.4534,false,false,1,369295549951641967
2990142148280216960,17792778781214311,G,2111.1213102521647,13.833574831248225,55197.11227929385,91.05587006177693,606.1895,false,false,4097,369295549951641967
2990142148280216960,17792778781214311,G,2129.304273140611,13.801558790398458,56848.99270060889,38.095414716223445,1492.2792,false,false,1,369295549951641967
2990142148280216960,17792778781214311,G,2129.378255435522,13.31348947570466,89114.93604767356,106.35848094712335,837.87335,false,false,4198913,369295549951641967
2990142148280216960,17792778781214311,G,2129.5544515569363,13.423623991218419,80518.68871086082,275.96533511193553,291.77103,false,false,4097,369295549951641967
2990142148280216960,17792778781214311,G,2198.8112571592974,13.049539139952035,113639.84535984963,317.54980772649355,357.86462,false,false,4097,369295549951641967
2990142148280216960,17792778781214311,G,2198.8852547165966,13.288335647488516,91203.61047061499,81.51719582476481,1118.8267,false,false,524289,369295549951641967
2990142148280216960,17792778781214311,G,2199.0613846414053,13.638375459959644,66068.7524178025,51.1792668173288,1290.9281,false,false,4194817,369295549951641967
2990142148280216960,17792778781214311,G,2199.1352111917026,13.691364720724238,62921.69333651432,492.57650638649557,127.73994,false,true,8356353,369295549951641967
2990142148280216960,17792778781214311,G,2199.3115652769143,13.688681636534664,63077.378457774175,59.98681851567111,1051.5206,false,false,1,369295549951641967
2990142148280216960,17792778781214311,G,2199.3855680481856,13.067956777455517,111728.39988261601,231.68544800729492,482.24176,false,false,4097,369295549951641967
2990142148280216960,17792778781214311,G,2208.6403283742343,13.497347993117911,75232.77699359489,1129.1532774070265,66.6276,false,true,4097,369295549951641967
2990142148280216960,17792778781214311,G,2208.816474827382,13.698689783259754,62498.6126215105,71.99780346312286,868.06274,false,false,4097,369295549951641967
2990142148280216960,17792778781214311,G,2208.8904775246738,13.707939062442122,61968.45451967285,61.12655982542938,1013.7729,false,false,1,369295549951641967
2990142148280216960,17792778781214311,G,2209.0666264458296,13.10990586183764,107493.93104993348,219.18227740702181,490.43167,false,false,4097,369295549951641967
2990142148280216960,17792778781214311,G,2248.794252170462,13.685506098205517,63262.13589819495,90.88356270259736,696.079,false,false,4198913,369295549951641967
2990142148280216960,17792778781214311,G,2248.868280927713,13.065758664267609,111954.82729725118,92.06840355180735,1215.9962,false,false,4097,369295549951641967
2990142148280216960,17792778781214311,G,2283.763844930681,13.568212232988394,70479.26995095955,42.81355307951235,1646.1907,false,false,4194817,369295549951641967
2990142148280216960,17792778781214311,G,2300.2658006653137,13.573149869820762,70159.47686656508,184.35213574352036,380.57318,false,false,4097,369295549951641967
2990142148280216960,17792778781214311,G,2300.339843837953,13.680046605282097,63581.04300262396,20.162278800969734,3153.465,false,false,147457,369295549951641967
2990142148280216960,17792778781214311,BP,1730.2535990981848,13.606527377229014,49882.05276297964,217.93229524511102,228.88785,false,false,0,369295549951641967
2990142148280216960,17792778781214311,BP,1754.0796478528555,13.384598719646315,61194.97764077285,238.65694907185065,256.41397,false,false,0,369295549951641967
2990142148280216960,17792778781214311,BP,1754.2558159484058,13.884281637256084,38622.69845560845,191.08195676526174,202.12634,false,false,0,369295549951641967
2990142148280216960,17792778781214311,BP,1872.8210872437896,14.145148958030745,30373.55914277232,184.76383672878885,164.39125,false,false,0,369295549951641967
