source_id,ra,dec,g,bp_rp
5414176983825449856,153.84054594916668,-45.59137523672342,17.699697,0.8446541
5414171417547739008,154.06848963751716,-45.7151916231893,19.649378,1.0546913
5414181106994158464,154.10084769664857,-45.512271248834566,19.529170999999998,1.1321259
5414171593648052992,154.03635971163862,-45.717386210436935,14.747982999999998,1.236825
5414173105476410752,153.99336237262776,-45.65004824488437,17.359886,0.89650536
5414177361782623232,153.8988251674351,-45.547439472295025,18.865822,0.9752865
5413393169476320640,154.179211484718,-47.18172690932832,19.7483,1.1336479
5413378119913550208,154.56355109509693,-47.24236250184661,17.422947,1.0073128
5413388260335742848,154.0565642859661,-47.17617716930312,17.05443,0.9937229
5413395162348950272,154.2644613615246,-47.09760377666551,19.303347,2.6931458
5413374271622700288,154.61197388767445,-47.3540806418375,18.155378,0.9024296
5413378467810609024,154.47927141451558,-47.28508135686476,17.605992999999998,0.94914055
5413395059262082816,154.27691587914023,-47.12579270584252,19.652227,1.1237507
5413448836552122496,153.91616057863618,-46.89272043888039,18.92916,1.1774788
5413444296767681408,154.12756972904918,-46.93747796072773,17.597279,0.97592735
5413456941151496960,153.57415509351273,-46.88838567027845,18.849327,1.1108818
5413444846523494016,154.02902921174064,-46.936745756584,19.32295,1.0037459999999998
5413448905275617280,153.88840535849403,-46.87247039756364,17.231361,1.0927372
5413454879566966528,153.55810545590955,-46.988856770230605,19.814651,1.3353747999999999
5413445705516740864,153.914659532318,-47.020679088793756,18.035970000000002,0.98238564
5413427529214868736,153.59287313381108,-47.11381098244002,19.496738,1.9452667000000001
5413443820030708480,154.07447687225783,-46.96875671875905,19.527788,1.1057587
5413448282499659008,154.0106701579714,-46.89307281976821,18.277319,1.6810551
5413445842955732992,153.86159372787318,-47.00759552944432,18.57065,0.96167755
5413458934016286336,153.7813772797053,-46.908145714994156,19.345865,1.1438103000000002
5413442926681262720,154.02898953119626,-47.00601953145213,14.035975,1.3532104
5413446809331550976,153.83998972219464,-46.96461013259366,18.92568,1.0570812
5413447359087375872,153.8681498980256,-46.919370414523385,19.517256,1.0531216
5413446225216011264,153.96673239432053,-46.95879792672185,18.224966000000002,0.9257641
5413432202139628672,153.4115465198556,-46.99458092904666,18.456814,1.0444908000000002
5413443987529913216,154.15821984507647,-46.987429896254426,18.471607000000002,1.0102406
5413448179418212224,153.92477964225404,-46.890472611245116,19.464403,1.123106
5413430552871903616,153.4606512107711,-47.09315325565372,18.797968,1.1075401000000002
5413435848575116928,153.93304890356006,-47.1404541121689,18.82505,1.0088043
5413444472865712256,154.0147062941781,-46.98809365253566,18.087889999999998,0.96001434
5413445155761172992,154.06599278448968,-46.921773587513755,18.648888,1.0508403999999998
5413448939635383040,153.91717945171297,-46.881436267749436,19.288292000000002,
5413447354784424576,153.8760908911185,-46.92355257659546,19.494804000000002,1.1331558000000002
5413441277409986304,154.0742600109601,-47.11606355193595,19.79761,1.9400883000000002
5413448179418206208,153.94604982393392,-46.89404242535018,19.63885,1.0619450000000001
5413443334694726144,154.12126665000287,-47.04546017908641,18.162466000000002,0.9580764999999999
5413446049114149888,153.94899659908694,-47.01147711469104,19.022785,0.94524765
5413445400578332160,154.0611919656414,-46.89570381527706,18.176357,0.900301
5413449794326645120,153.924272066777,-46.7948313602742,19.756367,1.0760478999999998
5413449798628708352,153.9146883234398,-46.78806149043273,19.361319,1.1152687
5413449519448131840,153.95775657142025,-46.82195584958035,19.65864,1.0509148000000001
5413449656887086720,153.90775414693903,-46.8209190068145,19.639679,1.1457576999999999
5413528894737263360,154.50688423158138,-46.41634832129851,18.663918,1.0220013000000001
5413526588338728832,154.44988173523657,-46.537790184834,18.382642999999998,1.0537528999999999
5413526828857200384,154.45118775752232,-46.478439673758096,17.924677,0.97798157
5413525557546434304,154.5045236816857,-46.57387385192962,19.51249,1.0537281
5413525591906233984,154.50511548724276,-46.55844281060453,18.078566,1.1014652
5413528894737263232,154.50064357050067,-46.41359734138089,19.416538,0.981987
5413521571820725248,154.6010193243631,-46.67948139276598,19.611254000000002,1.244442
5413532395138792320,154.7661783357499,-46.39062765781888,19.557582999999997,1.1737957
5413527894009246592,154.56639429680732,-46.4463832777402,17.770104999999997,1.0146674999999998
5413528070103878400,154.49841604346452,-46.485014056087074,18.662153,1.1008873
5413488968731805184,154.46309374253238,-46.94259705865559,19.336384,1.1868839
5413527859649507840,154.59400398324445,-46.44584184420678,19.47799,1.2133559999999999
5413526553979098880,154.49125160504613,-46.51411990443903,18.093763,1.0819149
5413528894737262848,154.4943883786117,-46.41073113776896,19.894712,1.0474892
5413527584775324288,154.63614520472387,-46.47213819023956,18.222154999999997,0.9488163000000001
5413498967403426176,154.46589305590496,-46.779812473648605,19.418415,1.1755581
5413526730073627264,154.46224902372876,-46.50793231943327,19.842669,1.138401
5413526966295834240,154.58018997577537,-46.541542448771175,18.55881,0.9416199000000001
5413522155936411520,154.62162297223037,-46.60865619023021,19.731405,1.1214600000000001
5413528448061048960,154.4837173911364,-46.44634295638353,19.50824,0.98018837
5413528894737262592,154.5064358304652,-46.41680227768686,19.838455,
5413528207542437632,154.51504112547522,-46.45950980743071,19.883955,1.1884632
5413518758615792512,155.02055568450794,-46.487992594500646,18.805443,1.0250282
5413526798793103360,154.43864276772803,-46.497457417541334,19.560259,1.0195484000000001
5413498241558366720,154.5415277344816,-46.68340209542509,18.317327,1.043911
5413527726506571648,154.5835080309524,-46.476503030717524,19.201914000000002,1.0558643
5413499615943423872,154.35735059496417,-46.76464797585586,19.248058,1.0699196000000002
5413502231578361856,154.42747113060008,-46.63880461200344,19.837646,0.8767985999999999
5413520201724452096,154.9010906888417,-46.40027106916838,19.11421,0.8235626
5413524148801361152,154.69008960511803,-46.545423138406754,19.900185,1.0971832000000001
5413527722210394240,154.5757686674746,-46.475523442566,19.801296,1.0475006
5413502540828416128,154.41076800749192,-46.60828812650739,17.356092,1.2034378000000001
5413508789997920256,154.75583421662702,-46.749793850858076,18.825481,1.0755825
5413530853253627392,154.75546728437402,-46.435642741447886,13.330795000000002,1.3053885
5413525355684465792,154.57132001654273,-46.590467048657686,19.50775,1.0723305
5413528100167516800,154.5254197701098,-46.475872158493694,19.496431,1.1577454
5413525626265968640,154.52720906072975,-46.55865586097597,19.801064,1.1645813
5413527309893410688,154.58084733618853,-46.49992034828178,19.28456,1.0838985
5413528168886993792,154.51019308286453,-46.47570135946564,19.174385,1.2511691999999999
