source_id,ra,dec,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,g,bp_rp,astrometric_excess_noise,astrometric_chi2_al,astrometric_n_good_obs_al,phot_bp_rp_excess_factor,g0,bp_rp0,M_G,cmdflag
5411987340783459840,147.92848705146457,-44.75577150483984,9.64470570779732,0.6987858187261968,-4.537243733834078,0.7200188123032679,0.027810424290489574,0.4064661448129808,19.855064000000002,1.2993946,0.0,252.34811000000002,241,1.2292011999999999,19.29618401039102,1.0288523519510586,6.029255019891867,False
5412003219277977216,147.46681507560837,-45.058584991939576,10.374810541477373,0.4890581682070431,-4.648977817452132,0.5018050534414987,0.3714081545829832,0.2994864070330301,19.453888,1.2527866,0.0,239.92006,298,1.2231576000000002,18.949828587282646,1.0087818776274078,5.685137460528818,False
5418204430493432704,148.19767945251525,-43.44352865507835,10.079481126745485,0.2633041236646453,-4.3500046183102645,0.26477653756033026,0.10647609113024048,0.16444616789179214,18.36605,1.0897026,0.4589383937086189,300.41733,263,1.276148,17.725292855738353,0.7795253347679769,4.483634081589955,False
5418182818219721472,148.54428382778826,-43.72621367810648,11.236331186691146,0.2659695732029563,-4.35950192748096,0.27081700797251,0.8215051702815362,0.17864640478827387,18.551455999999998,1.9430237000000001,0.36699225932540186,337.39532,306,1.4355567,17.839405405794004,1.5983347395995926,4.58394057464141,False
3278102525607689984,56.824736648710214,7.714823018247876,15.856371358942043,0.2555072664830541,-15.336436555813055,0.1934008813233957,0.06354023516865437,0.12477210799747912,17.514029,0.8927325999999999,0.0,337.45267,379,1.2353386,17.012320063573252,0.6498656825820031,3.739390347724946,True
2985448500643184896,81.38639547102909,-13.597883463215485,22.667628913778767,0.21917234280163586,-22.59336915749599,0.22645527126644385,0.3116409041492174,0.14352588862950955,17.980999999999998,0.87750626,0.3094079896854769,398.9729,326,1.2373303999999998,17.64418403559012,0.71446061693314,5.036068495010003,True
2985367686538035968,82.09494484659623,-13.990602482367166,24.506104295565077,0.2167658669476684,-24.33887991591411,0.2310019245384293,0.19725883256812987,0.13786527149521505,17.910694,0.89422417,0.18235353182269265,353.894,321,1.221442,17.564645968612172,0.7267094815184136,4.962719142993517,True
2985543956292701312,82.10425875879464,-13.340006847972322,23.959023875137657,0.07821408571891701,-24.208191219155363,0.08161955639624736,0.2400838283575565,0.0541714202571909,16.185164999999998,0.982419,0.0,367.3056,389,1.2343184999999999,15.748439448935867,0.7710091887175605,3.1407938479330237,True
5412048398038999552,147.2916236470404,-44.586643582172,11.541506414409595,0.3781386314086208,-4.495376247078567,0.41053626493493994,0.890982906007442,0.27167172148007235,19.050163,1.8771113999999998,0.3334938729673146,325.68744,273,1.4135625,18.432629579272565,1.5781762305247877,5.1826788345317105,False
2985707611726244480,80.35726207081184,-13.11016847722181,23.495399679395376,0.2041478023784238,-23.65202494553069,0.20466474362387796,0.23685466062464056,0.1112785365980473,17.452852,0.7764816,0.0,276.34967,276,1.212501,17.129665991792972,0.620033948297432,4.512785391836271,True
2985851682109593728,81.5528893624823,-12.597132664242695,23.22020350359702,0.0815330506811833,-23.63749689143529,0.09749389732385493,0.3032094918751613,0.0625851114725067,16.302269,0.8873719999999999,0.0,390.4838,380,1.2269062,15.864420830673085,0.6754187543766692,3.247639132627521,True
5414950318459476864,150.91488154427773,-44.41300959477825,8.400649927169535,0.4588872092435165,-3.273741233927188,0.4222630313540191,0.004986903882577418,0.3174973699157139,19.33255,1.0093497999999999,0.20853771182923356,307.65157999999997,282,1.2685440000000001,18.901814422013263,0.8008396248762863,5.579071819091116,True
3284943820097263488,64.46587613114485,5.725748509622219,18.165982224583463,0.4095479763151263,-17.827690260992267,0.2998695110080327,0.5874128575371995,0.2570500957784989,18.702154,1.164053,0.06288722924680798,173.43486000000001,176,1.2657286,18.104351873555675,0.8746693741618812,5.027000707057269,False
5427754788503079040,138.29071210377793,-42.04178849113095,13.170837643327758,0.4996723343212609,-4.527330287921046,0.4607327989917998,0.4035604142893915,0.29933237941134355,19.306376999999998,1.8537883999999998,0.04976226801853609,260.8567,253,1.3791431,17.975243835756576,1.2094143261922807,4.943425694533744,False
5415144798879739008,152.28072571696927,-43.79232653996769,8.236928148471657,0.13843887786019926,-2.3813492077685257,0.13081864067541846,0.07812058046588086,0.09358428177112957,17.469576,0.81372833,0.14222136256078816,354.6522,297,1.2370847,16.986466710711767,0.5798651007354683,3.6472380914574067,True
5423821143915399552,138.62387732839966,-45.10114801552635,11.600652437350789,0.30740246846216274,-5.345120158574026,0.295324761127136,0.3993813105493688,0.19549141862107405,18.696306,1.6483803,0.21879768097208707,251.11992999999998,250,1.29417,14.90805442341837,-0.18543395236340388,1.8015406118329338,False
2966108262908568704,87.6006866430821,-19.91430201034133,24.39649566847746,0.4637865410695953,-23.094849587733435,0.7522499318443451,0.6404067660727193,0.3862704864154297,19.374945,1.2247313999999998,0.0,351.70557,319,1.3256716,19.227158842259154,1.1531911757213211,6.6762949640659315,False
3259158764894232192,63.73905342574232,2.567907856910287,19.42936121635331,0.05643210339780093,-20.145259238825254,0.033158358496359036,0.2345197428415544,0.03361866665893838,14.072564000000002,0.8911896,0.0,225.76018,234,1.2405198,13.457916146733686,0.5936512794867796,0.4394323033310368,False
3259085917952039296,63.93861870496418,2.17304292460402,19.813953733162663,0.8783854774237666,-20.64573759429414,0.7345296069552517,1.3758717081671696,0.5000210700354704,19.69108,1.3422966,0.6130621088499852,201.2481,172,1.1537881,19.1980011132103,1.103607308272307,6.191241304966265,False
3259205627280716032,62.55789936802578,1.963596691847291,18.92054374524875,0.21457409406119116,-19.842256830836877,0.14526064953224976,0.7095229657822666,0.13093725089435368,17.803194,1.5092545,0.1935516316203199,366.5859,323,1.2788553999999999,16.950884678009956,1.0966691792360246,3.927499782966752,False
3259087154902637184,64.11928598096966,2.2115413528183527,19.856775285341914,0.4790444784051433,-20.815801660988832,0.3351275687642013,0.28894285592156543,0.24233302982799845,18.678267,1.0825118999999999,0.0,151.78603999999999,164,1.2485402,18.081016069938784,0.7933950727845145,5.076131222499132,False
3259400859314444800,63.42685058082622,3.099103004130904,18.332454563361406,0.3124009803218427,-19.6855807441312,0.18011401354172207,0.919824774763748,0.17280700167686688,17.922216,1.7789745,0.0,295.51944,304,1.3240243,17.160366523864315,1.4101789565670653,4.12522074665543,False
